id;credited;debited;purpose;created_date;updated_date;created_by;updated_by
1;3207;88674;target;2020-08-18T02:20:17;2020-08-18T19:38:22;46185;44343
2;50525;79850;Books;2020-08-18T20:55:56;2020-08-19T00:15:28;26252;12876
3;52511;53641;Automotive Michigan reboot;2020-08-18T07:43:34;2020-08-18T22:54:34;2194;72165
4;57678;75059;orange Wooden;2020-08-18T09:01:47;2020-08-18T09:23:53;53856;71569
5;97222;83241;hacking Marketing;2020-08-18T22:01:39;2020-08-18T03:36:46;61214;47049
6;43858;20111;Direct Virginia;2020-08-18T10:10:21;2020-08-18T09:24:13;56858;13608
7;5867;25217;Malagasy Ariary;2020-08-19T00:20:11;2020-08-18T14:21:24;7783;10937
8;38448;1928;Lodge synergies;2020-08-18T11:30:26;2020-08-18T12:39:57;27448;65537
9;10814;92387;International experiences;2020-08-18T17:57:17;2020-08-18T18:10:58;59083;91988
10;73788;75236;approach capacity alarm;2020-08-18T20:28:40;2020-08-18T07:09:02;60658;64366
