id;rooomno;room_type;rstatus;cost;status;created_date;updated_date;created_by;updated_by
1;27942;AC;CLEANING;97148;ACTIVE;2020-08-18T09:36:35;2020-08-18T03:38:01;97261;65118
2;21121;NONAC;OCCUPIED;4331;INACTIVE;2020-08-18T17:59:20;2020-08-18T02:44:31;86229;30741
3;93364;AC;OCCUPIED;73293;INACTIVE;2020-08-18T14:05:07;2020-08-18T03:38:19;22396;61219
4;29843;NONAC;BOOKED;66635;ACTIVE;2020-08-18T08:17:02;2020-08-18T23:27:00;67778;33012
5;27942;AC;CLEANING;15593;ACTIVE;2020-08-18T23:57:48;2020-08-18T07:21:06;51788;59345
6;54421;AC;CLEANING;79797;INACTIVE;2020-08-18T22:36:49;2020-08-18T20:35:52;26413;85510
7;40660;NONAC;VACANT;95450;INACTIVE;2020-08-18T23:01:12;2020-08-18T09:30:28;66097;14490
8;2268;AC;OCCUPIED;8984;ACTIVE;2020-08-18T18:06:43;2020-08-18T10:37:39;38174;36400
9;40871;AC;CLEANING;27754;INACTIVE;2020-08-18T21:45:52;2020-08-18T09:53:40;92219;92082
10;96525;NONAC;VACANT;18918;ACTIVE;2020-08-18T19:08:20;2020-08-18T07:23:58;73948;9173
