id;booking_type;noof_people;coming_from;visit_purpose;room_category;total_amount;advance;balance_amount;gst;booking_from;booking_to;created_date;updated_date;created_by;updated_by
1;OFFLINE;31093;RAM;Vision-oriented Cambridgeshire;NONAC;14339;75045;49702;11608;2020-08-18T01:55:11;2020-08-18T14:26:52;2020-08-18T09:55:21;2020-08-18T08:48:36;75636;64426
2;ONLINE;72436;array backing up robust;architectures leading edge monitor;AC;34376;42070;3523;95458;2020-08-18T07:32:58;2020-08-18T22:28:00;2020-08-18T01:30:02;2020-08-18T18:04:36;54448;91871
3;OFFLINE;31150;COM parsing Money Market Account;orange auxiliary;AC;60473;97260;76006;81339;2020-08-18T08:24:58;2020-08-18T12:21:41;2020-08-18T03:33:07;2020-08-18T18:23:04;21028;24322
4;OFFLINE;7394;pixel Direct AI;Malaysian Ringgit Kids Chips;AC;79050;62416;6134;25151;2020-08-18T16:20:05;2020-08-18T09:30:53;2020-08-18T12:48:39;2020-08-18T21:02:15;96315;2968
5;OFFLINE;78055;Gloves productivity;Analyst Forward;NONAC;56623;46425;39566;5054;2020-08-18T02:53:33;2020-08-18T19:35:27;2020-08-18T17:15:18;2020-08-18T14:09:31;54967;83796
6;OFFLINE;90379;turquoise invoice Shirt;Investment Account Applications;NONAC;55079;24622;89560;60779;2020-08-18T22:34:54;2020-08-18T17:25:24;2020-08-18T15:59:14;2020-08-18T15:03:39;23107;20708
7;ONLINE;77301;Consultant iterate;Brand;AC;13194;44709;24461;38081;2020-08-18T02:49:57;2020-08-18T13:20:45;2020-08-18T12:59:38;2020-08-18T05:01:43;38848;12021
8;OFFLINE;2241;Table;Regional Argentine Peso Gorgeous Plastic Shirt;NONAC;18571;78001;86990;19074;2020-08-18T16:51:03;2020-08-18T23:46:18;2020-08-18T19:44:14;2020-08-18T02:44:18;89410;38807
9;OFFLINE;48553;architect incremental 1080p;Home Loan Account time-frame Steel;NONAC;70405;9391;51486;20784;2020-08-18T10:56:43;2020-08-18T21:54:02;2020-08-18T04:37:16;2020-08-18T22:43:19;54599;77017
10;ONLINE;27762;Valley Ireland Metrics;real-time concept Handmade;NONAC;90625;74904;56097;1377;2020-08-18T01:18:28;2020-08-18T12:41:01;2020-08-18T07:05:49;2020-08-18T10:08:11;76618;93557
