id;purchase_date;itemdescription;quantity;available;itemcat;purchase_amount;purpose;created_date;updated_date;created_by;updated_by
1;25090;PCI Versatile drive;72478;3202;Creative Home Loan Account;87596;morph;2020-08-18T18:59:42;2020-08-18T08:47:44;98108;48391
2;72627;generate;31351;27065;Road SSL;20189;vortals;2020-08-18T12:35:32;2020-08-18T15:04:00;51574;73075
3;93640;deposit Pines;68274;82443;Home wireless JSON;85354;Steel;2020-08-18T09:56:08;2020-08-18T14:10:50;73773;27807
4;32711;Cambridgeshire Savings Account payment;66961;51017;Groves;42090;Hat Organic virtual;2020-08-18T08:28:27;2020-08-18T23:32:53;90031;42788
5;32271;azure generate front-end;81950;38441;Malagasy Ariary programming system;35306;Central;2020-08-18T14:52:50;2020-08-18T04:02:19;82042;58523
6;19612;Salad;92988;74604;payment withdrawal;52676;XML SQL;2020-08-18T05:00:01;2020-08-18T21:56:32;5919;3081
7;66611;Savings Account bandwidth 1080p;30710;50980;withdrawal Money Market Account;79847;Avenue;2020-08-18T19:42:14;2020-08-18T07:50:52;95111;10723
8;15359;Tactics Colorado Handcrafted;75573;1142;actuating;57353;Liaison;2020-08-18T14:54:16;2020-08-18T06:28:27;55485;94
9;38209;Personal Loan Account;19317;952;strategic payment compressing;98138;Producer Automotive;2020-08-18T22:23:06;2020-08-18T21:34:19;46787;93898
10;24425;ADP invoice Plastic;78808;97787;cultivate;66019;Home Loan Account teal;2020-08-18T19:55:53;2020-08-18T21:58:29;98262;6429
